Player,Team,Number,Position,Height,Weight,Last Attended,Country
AlaaAbdelnaby,POR,30,F,208.28,108.86207999999999,Duke,USA
ZaidAbdul-Aziz,HOU,54,C,205.74,106.59412,Iowa State,USA
KareemAbdul-Jabbar,LAL,33,C,218.44,102.0582,UCLA,USA
MahmoudAbdul-Rauf,DEN,1,G,185.42000000000002,73.481904,Louisiana State,USA
TariqAbdul-Wahad,SAC,9,F-G,198.12,106.59412,San Jose State,France
ShareefAbdur-Rahim,MEM,3,F,205.74,111.13004,California,USA
TomAbernethy,GSW,5,F,200.66,99.79024,Indiana,USA
ForestAble,PHI,6,G,190.5,81.64656,Western Kentucky,USA
JohnAbramovic,PIT,,F,190.5,88.45044,Salem,USA
AlexAbrines,OKC,8,G,198.12,86.18248,FC Barcelona,Spain
PreciousAchiuwa,TOR,5,F,203.2,102.0582,Memphis,Nigeria
AlexAcker,LAC,3,G,195.58,83.91452,Pepperdine,USA
DonaldAckerman,NYK,,G,182.88,83.007336,Long Island-Brooklyn,USA
MarkAcres,ORL,42,C,210.82,99.79024,Oral Roberts,USA
CharlesActon,HOU,24,F,198.12,95.25431999999999,Hillsdale,USA
QuincyAcy,SAC,13,F,200.66,108.86207999999999,Baylor,USA
AlvanAdams,PHX,33,C,205.74,95.25431999999999,Oklahoma,USA
DonAdams,DET,10,F,200.66,95.25431999999999,Northwestern,USA
HassanAdams,BKN,8,F,193.04,99.79024,Arizona,USA
JaylenAdams,ATL,10,G,182.88,102.0582,St. Bonaventure,USA
JordanAdams,MEM,3,G,195.58,94.80072799999999,UCLA,USA
MichaelAdams,DEN,23,G,177.8,74.84268,Boston College,USA
StevenAdams,MEM,4,C,210.82,120.20188,Pittsburgh,New Zealand
RafaelAddison,BKN,7,F,203.2,109.31567199999999,Syracuse,USA
BamAdebayo,MIA,13,C-F,205.74,115.66596,Kentucky,USA
DengAdel,CLE,32,F,200.66,90.7184,Louisville,South Sudan
RickAdelman,POR,5,G,187.96,79.3786,Loyola-Marymount,USA
JeffAdrien,CHA,12,F,200.66,111.13004,Connecticut,USA
ArronAfflalo,DEN,4,G,195.58,95.25431999999999,UCLA,USA
OchaiAgbaji,UTA,30,G,195.58,97.52228,Kansas,USA
MauriceAger,DAL,13,F-G,195.58,91.625584,Michigan State,USA
MarkAguirre,DAL,7,F,198.12,105.233344,DePaul,USA
BlakeAhearn,MIA,2,G,187.96,86.18248,Missouri State,USA
DannyAinge,BOS,22,G,195.58,79.3786,Brigham Young,USA
AlexisAjinca,NOP,42,C,218.44,112.490816,Hyeres-Toulon,France
HenryAkin,NYK,10,C,208.28,102.0582,Morehead State,USA
JoshAkognon,DAL,10,G,180.34,83.91452,California State-Fullerton,USA
DeVaughnAkoon-Purcell,DEN,44,G,195.58,91.171992,Illinois State,Trinidad and Tobago
SolomonAlabi,TOR,50,C,215.9,114.305184,Florida State,Nigeria
MarkAlarie,WAS,31,F,203.2,98.429464,Duke,USA
GaryAlcorn,DET,24,C,205.74,102.0582,Fresno State,USA
SantiAldama,MEM,7,F-C,213.36,97.52228,Loyola-Maryland,Spain
FurkanAldemir,PHI,19,F-C,208.28,108.86207999999999,Galatasaray,Turkey
ColeAldrich,NYK,45,C,210.82,114.758776,Kansas,USA
LaMarcusAldridge,BKN,21,C-F,210.82,113.398,Texas-Austin,USA
ChuckAleksinas,GSW,50,C,210.82,117.93392,Connecticut,USA
CliffAlexander,POR,34,F,203.2,108.86207999999999,Kansas,USA
CoryAlexander,SAS,12,G,185.42000000000002,86.18248,Virginia,USA
CourtneyAlexander,WAS,32,G,195.58,92.98636,Fresno State,USA
GaryAlexander,CLE,16,F,200.66,108.86207999999999,South Florida,USA
JoeAlexander,MIL,20,F,203.2,104.32616,West Virginia,USA
KyleAlexander,MIA,17,F-C,208.28,97.975872,Tennessee,Canada
Ty-ShonAlexander,PHX,0,G,190.5,88.45044,Creighton,USA
VictorAlexander,GSW,9,F,208.28,120.20188,Iowa State,USA
NickeilAlexander-Walker,UTA,6,G,195.58,92.98636,Virginia Tech,Canada
SteveAlford,DAL,4,G,187.96,83.007336,Indiana,USA
RawleAlkins,CHI,20,G,195.58,102.0582,Arizona,USA
BobAllen,GSW,50,F,205.74,92.98636,Marshall,USA
GraysonAllen,MIL,12,G,193.04,89.811216,Duke,USA
JarrettAllen,CLE,31,C,205.74,110.222856,Texas,USA
JeromeAllen,IND,53,G,193.04,83.460928,Pennsylvania,USA
KadeemAllen,NYK,0,G,190.5,90.7184,Arizona,USA
LavoyAllen,IND,5,F-C,205.74,117.93392,Temple,USA
LuciusAllen,MIL,42,G,187.96,79.3786,UCLA,USA
MalikAllen,MIA,35,F,208.28,115.66596,Villanova,USA
RandyAllen,SAC,33,F,203.2,99.79024,Florida State,USA
RayAllen,MIL,34,G,195.58,92.98636,Connecticut,USA
TonyAllen,MEM,9,G-F,193.04,96.615096,Oklahoma State,USA
OdisAllison,GSW,22,F,198.12,88.45044,UNLV,USA
LanceAllred,CLE,41,C,210.82,113.398,Weber State,USA
DarrellAllums,DAL,32,F,203.2,99.79024,UCLA,USA
MorrisAlmond,UTA,21,G,198.12,102.0582,Rice,USA
DerrickAlston,PHI,21,F,210.82,102.0582,Duquesne,USA
RaferAlston,HOU,11,G,187.96,79.3786,Fresno State,USA
PeterAluma,SAC,43,C,208.28,117.93392,Liberty,USA
JoseAlvarado,NOP,15,G,182.88,81.192968,Georgia Tech,USA
JohnAmaechi,ORL,13,F-C,208.28,122.46984,Penn State,United Kingdom
AshrafAmaya,MEM,18,F,200.66,113.398,Southern Illinois,USA
Al-FarouqAminu,POR,5,F,203.2,99.79024,Wake Forest,USA
LouAmundson,PHX,17,F,205.74,99.79024,UNLV,USA
BobAnderegg,NYK,18,F,190.5,90.7184,Michigan State,USA
ChrisAndersen,DEN,7,F-C,208.28,111.13004,Blinn J.C.,USA
DavidAndersen,HOU,11,C,210.82,112.037224,FC Barcelona,Australia
AlanAnderson,BKN,9,F-G,198.12,99.79024,Michigan State,USA
AntonioAnderson,OKC,8,G,198.12,97.52228,Memphis,USA
CliffAnderson,LAL,26,G,187.96,90.7184,St. Joseph's (PA),USA
DanielAnderson,POR,33,G,187.96,83.91452,Southern California,USA
DerekAnderson,POR,1,G,195.58,88.45044,Kentucky,USA
DwightAnderson,DEN,20,G,190.5,83.91452,Southern California,USA
EricAnderson,NYK,42,F,205.74,99.79024,Indiana,USA
GregAnderson,SAS,0,C-F,208.28,113.398,Houston,USA
JamesAnderson,SAS,5,G-F,198.12,96.615096,Oklahoma State,USA
JeromeAnderson,IND,21-23,G,195.58,88.45044,West Virginia,USA
